"iso_code","country","Y","X1","X2","X3","X4","X5","D","l_Y","l_X1","l_X2","l_X5"
"KOR","Korea, Rep.",84.25979809,12.89363377,252.633954,7.17,7.04,49777.9293,"HighFreedom",4.43390486027456,2.55673368335181,5.53194161893535,10.8153269780295
"KWT","Kuwait",74.19428137,11.38171299,62.54547965,5.26,6.03,51379.88333,"LowFreedom",4.30668707671808,2.43200794373227,4.13589396651571,10.8470019999334
"KGZ","Kyrgyz Republic",33.20690485,7.288143708,43.62199797,4.41,6.03,6139.777888,"LowFreedom",3.50275783170778,1.98624887820452,3.77556156371351,8.72254384589404
"LAO","Lao PDR",82.95751268,2.968213687,27.46076405,4.42,5.76,8183.032865,"LowFreedom",4.41832858131172,1.08796031968113,3.31275822406054,9.00981812677252
"LVA","Latvia",47.45749184,56.83281722,5.189633644,7.1,7.44,37681.04524,"HighFreedom",3.85983440173923,4.04011392684121,1.64666310586163,10.5369124682206
"LBN","Lebanon",22.83568921,36.21951464,19.79521988,3.53,6.02,11474.75058,"LowFreedom",3.12832462835797,3.58959805203417,2.98544048835192,9.3479042987448
"LSO","Lesotho",41.32772647,3.650651574,14.06176902,4.46,5.77,2577.545441,"LowFreedom",3.72153361781629,1.29490566508743,2.64345969781359,7.85459284560962
"LBY","Libya",46.77014874,16.11065854,11.61826337,3.3,4.27,11456.07681,"LowFreedom",3.84524515197648,2.77948107406912,2.4525782884475,9.34627559396147
"LTU","Lithuania",46.8940425,10.51753768,47.14184874,7.08,6.82,46651.21458,"HighFreedom",3.84789064179745,2.35304411907655,3.8531611148128,10.7504542419494
"LUX","Luxembourg",89.03301521,52.42101355,88.82449517,8.57,7.58,132573.9944,"HighFreedom",4.48900725836018,3.95930753288575,4.48666245846848,11.7948962168361
"MDG","Madagascar",21.70501245,2.841048784,3.070518109,3.15,5.5,1602.713684,"LowFreedom",3.07754322235195,1.04417327414314,1.12184631250645,7.37945352405505
"MYS","Malaysia",92.83788705,50.66626607,8.045347373,5.43,7.51,32079.15152,"HighFreedom",4.53085482209942,3.92526032563375,2.08509395825673,10.3759616127529
"MLI","Mali",38.41968994,3.988226105,4.32193482,3.46,5.49,2808.522474,"LowFreedom",3.64857008703195,1.38334654683143,1.46370317698995,7.94041381407684
"MLT","Malta",110.6767761,22.1284535,42.52134203,7.19,7.3,57784.82267,"HighFreedom",4.7066140263774,3.09686426910863,3.75000611529928,10.9644814366154
"MRT","Mauritania",279.3037857,11.36884105,11.44125405,3.44,5.93,6053.261787,"LowFreedom",5.63230002710202,2.43087637204827,2.43722559969909,8.70835254408913
"MUS","Mauritius",113.3890676,41.79391477,14.43108268,6.68,6.96,24788.7665,"HighFreedom",4.73082498100259,3.73275074926789,2.66938439977021,10.1181458658243
"MEX","Mexico",25.80196871,12.38191686,66.46093294,4.68,6.17,21392.11146,"HighFreedom",3.25045079560552,2.51623709048881,4.19661430044453,9.97077750968716
"MDA","Moldova",34.48300912,29.21894299,57.74455512,5.87,5.58,15358.01536,"LowFreedom",3.54046671344928,3.3748172314725,4.05602906132056,9.63939279002021
"MNG","Mongolia",51.62009945,41.04890808,60.44516803,5.85,6.49,15310.43495,"LowFreedom",3.94391112086746,3.71476423578826,4.10173664053263,9.63628989778444
"MNE","Montenegro",58.54156756,81.23444891,45.23952361,5.68,6.66,25430.48742,"HighFreedom",4.0697370584932,4.39733940486014,3.81197112090954,10.1437040253579
"MAR","Morocco",84.84312597,21.61427395,29.54945705,5.35,6.29,8666.079102,"LowFreedom",4.44080397449154,3.07335392745597,3.38606536974083,9.06717173011418
"MOZ","Mozambique",48.3689844,3.738280324,8.750468676,4.58,5.77,1476.665603,"LowFreedom",3.87885879012904,1.31862569926594,2.16910726190651,7.29754185405478
"NAM","Namibia",52.94559326,68.46274841,8.467906634,6.23,5.16,9953.097522,"LowFreedom",3.9692648440326,4.22628977851297,2.13628332746786,9.20563909044984
"NPL","Nepal",91.33133901,21.79327286,23.72066574,4.98,7.14,4763.387511,"LowFreedom",4.51449398182463,3.08160133776941,3.16634664034612,8.46871435608895
"NLD","Netherlands",89.82944598,34.15043209,5.17895941,8.93,7.15,71324.03603,"HighFreedom",4.49791282779473,3.53077523864539,1.64460414999069,11.1749886608134
"NZL","New Zealand",113.9540719,50.87359425,16.90982547,8.73,8.54,49618.52533,"HighFreedom",4.73579548914715,3.92934401193137,2.82789484174546,10.8121195375377
"NIC","Nicaragua",30.44196916,21.79412534,8.024968634,3.48,5.9,7277.822648,"LowFreedom",3.41582222078292,3.08164045366232,2.08255776047262,8.89258700964216
"NER","Niger",15.4402431,1.597580438,2.025101964,3.33,5.95,1717.518915,"LowFreedom",2.73697728929133,0.468490258427577,0.705620051883446,7.4486360371363
"NGA","Nigeria",21.89803071,14.00099359,3.5087404,3.98,6.47,5552.83765,"LowFreedom",3.08639671086143,2.63912829781124,1.25525711267311,8.62206436436545
