NLD,Netherlands,WB_WDI_NY_GDP_PCAP_PP_KD,71324.03603
NZL,New Zealand,WB_WDI_NY_GDP_PCAP_PP_KD,49618.52533
NIC,Nicaragua,WB_WDI_NY_GDP_PCAP_PP_KD,7277.822648
NER,Niger,WB_WDI_NY_GDP_PCAP_PP_KD,1717.518915
NGA,Nigeria,WB_WDI_NY_GDP_PCAP_PP_KD,5552.83765
MKD,North Macedonia,WB_WDI_NY_GDP_PCAP_PP_KD,22822.28881
OMN,Oman,WB_WDI_NY_GDP_PCAP_PP_KD,39780.21228
PAK,Pakistan,WB_WDI_NY_GDP_PCAP_PP_KD,5526.279283
PAN,Panama,WB_WDI_NY_GDP_PCAP_PP_KD,33833.02651
PRY,Paraguay,WB_WDI_NY_GDP_PCAP_PP_KD,15259.14563
PER,Peru,WB_WDI_NY_GDP_PCAP_PP_KD,15559.82164
PHL,Philippines,WB_WDI_NY_GDP_PCAP_PP_KD,9457.103954
POL,Poland,WB_WDI_NY_GDP_PCAP_PP_KD,43405.02158
PRT,Portugal,WB_WDI_NY_GDP_PCAP_PP_KD,41070.86131
ROU,Romania,WB_WDI_NY_GDP_PCAP_PP_KD,39380.23614
RWA,Rwanda,WB_WDI_NY_GDP_PCAP_PP_KD,2892.459649
SAU,Saudi Arabia,WB_WDI_NY_GDP_PCAP_PP_KD,67178.59023
SEN,Senegal,WB_WDI_NY_GDP_PCAP_PP_KD,4228.733826
SRB,Serbia,WB_WDI_NY_GDP_PCAP_PP_KD,24634.48629
SYC,Seychelles,WB_WDI_NY_GDP_PCAP_PP_KD,27978.17706
SGP,Singapore,WB_WDI_NY_GDP_PCAP_PP_KD,133571.9624
SVK,Slovak Republic,WB_WDI_NY_GDP_PCAP_PP_KD,38623.67106
SVN,Slovenia,WB_WDI_NY_GDP_PCAP_PP_KD,47064.15179
ZAF,South Africa,WB_WDI_NY_GDP_PCAP_PP_KD,13777.19275
ESP,Spain,WB_WDI_NY_GDP_PCAP_PP_KD,46649.56354
SUR,Suriname,WB_WDI_NY_GDP_PCAP_PP_KD,18742.58738
SWE,Sweden,WB_WDI_NY_GDP_PCAP_PP_KD,63215.4363
CHE,Switzerland,WB_WDI_NY_GDP_PCAP_PP_KD,82777.29358
TJK,Tajikistan,WB_WDI_NY_GDP_PCAP_PP_KD,4213.756184
TZA,Tanzania,WB_WDI_NY_GDP_PCAP_PP_KD,3546.980957
THA,Thailand,WB_WDI_NY_GDP_PCAP_PP_KD,20762.79526
TLS,Timor-Leste,WB_WDI_NY_GDP_PCAP_PP_KD,5347.00759
TGO,Togo,WB_WDI_NY_GDP_PCAP_PP_KD,2662.259171
TTO,Trinidad and Tobago,WB_WDI_NY_GDP_PCAP_PP_KD,30793.39983
TUN,Tunisia,WB_WDI_NY_GDP_PCAP_PP_KD,12702.45358
TUR,Turkiye,WB_WDI_NY_GDP_PCAP_PP_KD,32748.3189
UGA,Uganda,WB_WDI_NY_GDP_PCAP_PP_KD,2724.906096
UKR,Ukraine,WB_WDI_NY_GDP_PCAP_PP_KD,13787.12109
ARE,United Arab Emirates,WB_WDI_NY_GDP_PCAP_PP_KD,68867.82593
URY,Uruguay,WB_WDI_NY_GDP_PCAP_PP_KD,30804.70328
VNM,Viet Nam,WB_WDI_NY_GDP_PCAP_PP_KD,12979.7639
ZMB,Zambia,WB_WDI_NY_GDP_PCAP_PP_KD,3585.123791
