DATASET,SERIES_CODE,OBS_MEASURE,COUNTRY,INDICATOR,TYPE_OF_TRANSFORMATION,FREQUENCY,SCALE,2022
IMF.STA:FAS(4.0.0),SWE.FA18N.PHTADLT_NUM.A,OBS_VALUE,Sweden,Number of automated teller machines (ATMs),"Per 100,000 adults",Annual,Units,24.59290536
IMF.STA:FAS(4.0.0),ESP.FA26N.PHTADLT_NUM.A,OBS_VALUE,Spain,Number of commercial bank branches,"Per 100,000 adults",Annual,Units,33.48579956
IMF.STA:FAS(4.0.0),CHN.FA18N.PHTADLT_NUM.A,OBS_VALUE,"China, People's Republic of",Number of automated teller machines (ATMs),"Per 100,000 adults",Annual,Units,76.55598676
IMF.STA:FAS(4.0.0),LUX.FA26N.PHTADLT_NUM.A,OBS_VALUE,Luxembourg,Number of commercial bank branches,"Per 100,000 adults",Annual,Units,52.42101355
IMF.STA:FAS(4.0.0),BEL.FA18N.PHTADLT_NUM.A,OBS_VALUE,Belgium,Number of automated teller machines (ATMs),"Per 100,000 adults",Annual,Units,60.4645834
IMF.STA:FAS(4.0.0),GNB.FA18N.PHTADLT_NUM.A,OBS_VALUE,Guinea-Bissau,Number of automated teller machines (ATMs),"Per 100,000 adults",Annual,Units,7.404291653
IMF.STA:FAS(4.0.0),ETH.FA18N.PHTADLT_NUM.A,OBS_VALUE,"Ethiopia, The Federal Democratic Republic of",Number of automated teller machines (ATMs),"Per 100,000 adults",Annual,Units,9.129696291
IMF.STA:FAS(4.0.0),CPV.FA26N.PHTADLT_NUM.A,OBS_VALUE,Cabo Verde,Number of commercial bank branches,"Per 100,000 adults",Annual,Units,35.13833407
IMF.STA:FAS(4.0.0),DZA.FA18N.PHTADLT_NUM.A,OBS_VALUE,Algeria,Number of automated teller machines (ATMs),"Per 100,000 adults",Annual,Units,11.57333072
IMF.STA:FAS(4.0.0),COG.FA26N.PHTADLT_NUM.A,OBS_VALUE,"Congo, Republic of",Number of commercial bank branches,"Per 100,000 adults",Annual,Units,3.9207545
IMF.STA:FAS(4.0.0),ETH.FA26N.PHTADLT_NUM.A,OBS_VALUE,"Ethiopia, The Federal Democratic Republic of",Number of commercial bank branches,"Per 100,000 adults",Annual,Units,11.87045704
IMF.STA:FAS(4.0.0),COM.FA18N.PHTADLT_NUM.A,OBS_VALUE,"Comoros, Union of the",Number of automated teller machines (ATMs),"Per 100,000 adults",Annual,Units,6.544200299
IMF.STA:FAS(4.0.0),CPV.FA18N.PHTADLT_NUM.A,OBS_VALUE,Cabo Verde,Number of automated teller machines (ATMs),"Per 100,000 adults",Annual,Units,56.00997612
IMF.STA:FAS(4.0.0),BEN.FA26N.PHTADLT_NUM.A,OBS_VALUE,Benin,Number of commercial bank branches,"Per 100,000 adults",Annual,Units,2.800131393
IMF.STA:FAS(4.0.0),BWA.FA26N.PHTADLT_NUM.A,OBS_VALUE,Botswana,Number of commercial bank branches,"Per 100,000 adults",Annual,Units,8.309073265
IMF.STA:FAS(4.0.0),COG.FA18N.PHTADLT_NUM.A,OBS_VALUE,"Congo, Republic of",Number of automated teller machines (ATMs),"Per 100,000 adults",Annual,Units,13.48288238
IMF.STA:FAS(4.0.0),ZAF.FA18N.PHTADLT_NUM.A,OBS_VALUE,South Africa,Number of automated teller machines (ATMs),"Per 100,000 adults",Annual,Units,46.91286335
IMF.STA:FAS(4.0.0),COM.FA26N.PHTADLT_NUM.A,OBS_VALUE,"Comoros, Union of the",Number of commercial bank branches,"Per 100,000 adults",Annual,Units,5.004388464
IMF.STA:FAS(4.0.0),GMB.FA26N.PHTADLT_NUM.A,OBS_VALUE,"Gambia, The",Number of commercial bank branches,"Per 100,000 adults",Annual,Units,5.803995212
IMF.STA:FAS(4.0.0),BEN.FA18N.PHTADLT_NUM.A,OBS_VALUE,Benin,Number of automated teller machines (ATMs),"Per 100,000 adults",Annual,Units,3.82977612
IMF.STA:FAS(4.0.0),GNB.FA26N.PHTADLT_NUM.A,OBS_VALUE,Guinea-Bissau,Number of commercial bank branches,"Per 100,000 adults",Annual,Units,3.308300526
IMF.STA:FAS(4.0.0),ZAF.FA26N.PHTADLT_NUM.A,OBS_VALUE,South Africa,Number of commercial bank branches,"Per 100,000 adults",Annual,Units,8.476996226
IMF.STA:FAS(4.0.0),DZA.FA26N.PHTADLT_NUM.A,OBS_VALUE,Algeria,Number of commercial bank branches,"Per 100,000 adults",Annual,Units,4.947280935
IMF.STA:FAS(4.0.0),BWA.FA18N.PHTADLT_NUM.A,OBS_VALUE,Botswana,Number of automated teller machines (ATMs),"Per 100,000 adults",Annual,Units,38.14895682
IMF.STA:FAS(4.0.0),ZAF.OUTD_COMBANK.POGDP.A,OBS_VALUE,South Africa,"Outstanding deposits, Commercial banks",Percent of GDP,Annual,Units,46.09801514
IMF.STA:FAS(4.0.0),GMB.FA18N.PHTADLT_NUM.A,OBS_VALUE,"Gambia, The",Number of automated teller machines (ATMs),"Per 100,000 adults",Annual,Units,8.512526311
IMF.STA:FAS(4.0.0),TLS.FA18N.PHTADLT_NUM.A,OBS_VALUE,"Timor-Leste, Democratic Republic of",Number of automated teller machines (ATMs),"Per 100,000 adults",Annual,Units,15.46547724
IMF.STA:FAS(4.0.0),URY.FA18N.PHTADLT_NUM.A,OBS_VALUE,Uruguay,Number of automated teller machines (ATMs),"Per 100,000 adults",Annual,Units,304.149729
IMF.STA:FAS(4.0.0),ITA.FA18N.PHTADLT_NUM.A,OBS_VALUE,Italy,Number of automated teller machines (ATMs),"Per 100,000 adults",Annual,Units,90.32531892
IMF.STA:FAS(4.0.0),IRQ.FA26N.PHTADLT_NUM.A,OBS_VALUE,Iraq,Number of commercial bank branches,"Per 100,000 adults",Annual,Units,3.439283128
IMF.STA:FAS(4.0.0),PER.FA18N.PHTADLT_NUM.A,OBS_VALUE,Peru,Number of automated teller machines (ATMs),"Per 100,000 adults",Annual,Units,121.5158012
IMF.STA:FAS(4.0.0),HKG.FA18N.PHTADLT_NUM.A,OBS_VALUE,"Hong Kong Special Administrative Region, People's Republic of China",Number of automated teller machines (ATMs),"Per 100,000 adults",Annual,Units,48.89560864
IMF.STA:FAS(4.0.0),SVN.FA26N.PHTADLT_NUM.A,OBS_VALUE,"Slovenia, Republic of",Number of commercial bank branches,"Per 100,000 adults",Annual,Units,21.41383747
IMF.STA:FAS(4.0.0),HND.FA26N.PHTADLT_NUM.A,OBS_VALUE,Honduras,Number of commercial bank branches,"Per 100,000 adults",Annual,Units,15.53002225
IMF.STA:FAS(4.0.0),HUN.FA26N.PHTADLT_NUM.A,OBS_VALUE,Hungary,Number of commercial bank branches,"Per 100,000 adults",Annual,Units,17.52060529
IMF.STA:FAS(4.0.0),POL.FA26N.PHTADLT_NUM.A,OBS_VALUE,"Poland, Republic of",Number of commercial bank branches,"Per 100,000 adults",Annual,Units,22.6368324
IMF.STA:FAS(4.0.0),DJI.FA26N.PHTADLT_NUM.A,OBS_VALUE,Djibouti,Number of commercial bank branches,"Per 100,000 adults",Annual,Units,9.174288867
IMF.STA:FAS(4.0.0),NPL.FA26N.PHTADLT_NUM.A,OBS_VALUE,Nepal,Number of commercial bank branches,"Per 100,000 adults",Annual,Units,23.72066574
IMF.STA:FAS(4.0.0),HRV.FA26N.PHTADLT_NUM.A,OBS_VALUE,"Croatia, Republic of",Number of commercial bank branches,"Per 100,000 adults",Annual,Units,26.29947077
IMF.STA:FAS(4.0.0),ISR.FA26N.PHTADLT_NUM.A,OBS_VALUE,Israel,Number of commercial bank branches,"Per 100,000 adults",Annual,Units,14.43441233
IMF.STA:FAS(4.0.0),IND.FA18N.PHTADLT_NUM.A,OBS_VALUE,India,Number of automated teller machines (ATMs),"Per 100,000 adults",Annual,Units,24.56163942
IMF.STA:FAS(4.0.0),SUR.FA18N.PHTADLT_NUM.A,OBS_VALUE,Suriname,Number of automated teller machines (ATMs),"Per 100,000 adults",Annual,Units,27.85321356
IMF.STA:FAS(4.0.0),DEU.FA26N.PHTADLT_NUM.A,OBS_VALUE,Germany,Number of commercial bank branches,"Per 100,000 adults",Annual,Units,7.022498388
IMF.STA:FAS(4.0.0),HKG.FA26N.PHTADLT_NUM.A,OBS_VALUE,"Hong Kong Special Administrative Region, People's Republic of China",Number of commercial bank branches,"Per 100,000 adults",Annual,Units,18.74840994
IMF.STA:FAS(4.0.0),HND.FA18N.PHTADLT_NUM.A,OBS_VALUE,Honduras,Number of automated teller machines (ATMs),"Per 100,000 adults",Annual,Units,25.43302298
IMF.STA:FAS(4.0.0),PER.FA26N.PHTADLT_NUM.A,OBS_VALUE,Peru,Number of commercial bank branches,"Per 100,000 adults",Annual,Units,5.181614188
IMF.STA:FAS(4.0.0),ECU.FA26N.PHTADLT_NUM.A,OBS_VALUE,Ecuador,Number of commercial bank branches,"Per 100,000 adults",Annual,Units,8.993795411
IMF.STA:FAS(4.0.0),ISR.FA18N.PHTADLT_NUM.A,OBS_VALUE,Israel,Number of automated teller machines (ATMs),"Per 100,000 adults",Annual,Units,128.2575795
IMF.STA:FAS(4.0.0),LBN.FA26N.PHTADLT_NUM.A,OBS_VALUE,Lebanon,Number of commercial bank branches,"Per 100,000 adults",Annual,Units,19.79521988
IMF.STA:FAS(4.0.0),KOR.FA18N.PHTADLT_NUM.A,OBS_VALUE,"Korea, Republic of",Number of automated teller machines (ATMs),"Per 100,000 adults",Annual,Units,252.633954
IMF.STA:FAS(4.0.0),ECU.FA18N.PHTADLT_NUM.A,OBS_VALUE,Ecuador,Number of automated teller machines (ATMs),"Per 100,000 adults",Annual,Units,50.75393089
IMF.STA:FAS(4.0.0),IDN.FA26N.PHTADLT_NUM.A,OBS_VALUE,Indonesia,Number of commercial bank branches,"Per 100,000 adults",Annual,Units,12.23034966
IMF.STA:FAS(4.0.0),KWT.FA18N.PHTADLT_NUM.A,OBS_VALUE,Kuwait,Number of automated teller machines (ATMs),"Per 100,000 adults",Annual,Units,62.54547965
IMF.STA:FAS(4.0.0),MEX.FA18N.PHTADLT_NUM.A,OBS_VALUE,Mexico,Number of automated teller machines (ATMs),"Per 100,000 adults",Annual,Units,66.46093294
IMF.STA:FAS(4.0.0),KHM.FA26N.PHTADLT_NUM.A,OBS_VALUE,Cambodia,Number of commercial bank branches,"Per 100,000 adults",Annual,Units,12.50518367
IMF.STA:FAS(4.0.0),NIC.FA26N.PHTADLT_NUM.A,OBS_VALUE,Nicaragua,Number of commercial bank branches,"Per 100,000 adults",Annual,Units,8.024968634
IMF.STA:FAS(4.0.0),MYS.FA26N.PHTADLT_NUM.A,OBS_VALUE,Malaysia,Number of commercial bank branches,"Per 100,000 adults",Annual,Units,8.045347373
IMF.STA:FAS(4.0.0),SVN.FA18N.PHTADLT_NUM.A,OBS_VALUE,"Slovenia, Republic of",Number of automated teller machines (ATMs),"Per 100,000 adults",Annual,Units,71.15639741
IMF.STA:FAS(4.0.0),HUN.FA18N.PHTADLT_NUM.A,OBS_VALUE,Hungary,Number of automated teller machines (ATMs),"Per 100,000 adults",Annual,Units,57.72783579
IMF.STA:FAS(4.0.0),DOM.FA26N.PHTADLT_NUM.A,OBS_VALUE,Dominican Republic,Number of commercial bank branches,"Per 100,000 adults",Annual,Units,10.84766226
IMF.STA:FAS(4.0.0),IND.FA26N.PHTADLT_NUM.A,OBS_VALUE,India,Number of commercial bank branches,"Per 100,000 adults",Annual,Units,14.26709129
IMF.STA:FAS(4.0.0),JOR.FA18N.PHTADLT_NUM.A,OBS_VALUE,Jordan,Number of automated teller machines (ATMs),"Per 100,000 adults",Annual,Units,29.27987796
IMF.STA:FAS(4.0.0),SUR.FA26N.PHTADLT_NUM.A,OBS_VALUE,Suriname,Number of commercial bank branches,"Per 100,000 adults",Annual,Units,10.44495509
IMF.STA:FAS(4.0.0),KHM.FA18N.PHTADLT_NUM.A,OBS_VALUE,Cambodia,Number of automated teller machines (ATMs),"Per 100,000 adults",Annual,Units,37.8164779
IMF.STA:FAS(4.0.0),HRV.FA18N.PHTADLT_NUM.A,OBS_VALUE,"Croatia, Republic of",Number of automated teller machines (ATMs),"Per 100,000 adults",Annual,Units,126.6248397
IMF.STA:FAS(4.0.0),URY.FA26N.PHTADLT_NUM.A,OBS_VALUE,Uruguay,Number of commercial bank branches,"Per 100,000 adults",Annual,Units,9.656125336
IMF.STA:FAS(4.0.0),DOM.FA18N.PHTADLT_NUM.A,OBS_VALUE,Dominican Republic,Number of automated teller machines (ATMs),"Per 100,000 adults",Annual,Units,38.53549466
IMF.STA:FAS(4.0.0),SLV.FA26N.PHTADLT_NUM.A,OBS_VALUE,El Salvador,Number of commercial bank branches,"Per 100,000 adults",Annual,Units,9.204779807
IMF.STA:FAS(4.0.0),JOR.FA26N.PHTADLT_NUM.A,OBS_VALUE,Jordan,Number of commercial bank branches,"Per 100,000 adults",Annual,Units,12.54106972
IMF.STA:FAS(4.0.0),CYP.FA26N.PHTADLT_NUM.A,OBS_VALUE,Cyprus,Number of commercial bank branches,"Per 100,000 adults",Annual,Units,20.57414385
IMF.STA:FAS(4.0.0),THA.FA26N.PHTADLT_NUM.A,OBS_VALUE,Thailand,Number of commercial bank branches,"Per 100,000 adults",Annual,Units,8.695374094
IMF.STA:FAS(4.0.0),PAN.FA26N.PHTADLT_NUM.A,OBS_VALUE,Panama,Number of commercial bank branches,"Per 100,000 adults",Annual,Units,19.04562175
IMF.STA:FAS(4.0.0),LAO.FA18N.PHTADLT_NUM.A,OBS_VALUE,Lao People's Democratic Republic,Number of automated teller machines (ATMs),"Per 100,000 adults",Annual,Units,27.46076405
IMF.STA:FAS(4.0.0),KWT.FA26N.PHTADLT_NUM.A,OBS_VALUE,Kuwait,Number of commercial bank branches,"Per 100,000 adults",Annual,Units,11.38171299
IMF.STA:FAS(4.0.0),PAN.FA18N.PHTADLT_NUM.A,OBS_VALUE,Panama,Number of automated teller machines (ATMs),"Per 100,000 adults",Annual,Units,72.17770941
IMF.STA:FAS(4.0.0),DEU.FA18N.PHTADLT_NUM.A,OBS_VALUE,Germany,Number of automated teller machines (ATMs),"Per 100,000 adults",Annual,Units,72.98629789
IMF.STA:FAS(4.0.0),NIC.FA18N.PHTADLT_NUM.A,OBS_VALUE,Nicaragua,Number of automated teller machines (ATMs),"Per 100,000 adults",Annual,Units,21.79412534
IMF.STA:FAS(4.0.0),MEX.FA26N.PHTADLT_NUM.A,OBS_VALUE,Mexico,Number of commercial bank branches,"Per 100,000 adults",Annual,Units,12.38191686
IMF.STA:FAS(4.0.0),LAO.FA26N.PHTADLT_NUM.A,OBS_VALUE,Lao People's Democratic Republic,Number of commercial bank branches,"Per 100,000 adults",Annual,Units,2.968213687
IMF.STA:FAS(4.0.0),ITA.FA26N.PHTADLT_NUM.A,OBS_VALUE,Italy,Number of commercial bank branches,"Per 100,000 adults",Annual,Units,33.07415318
IMF.STA:FAS(4.0.0),NPL.FA18N.PHTADLT_NUM.A,OBS_VALUE,Nepal,Number of automated teller machines (ATMs),"Per 100,000 adults",Annual,Units,21.79327286
IMF.STA:FAS(4.0.0),SAU.FA18N.PHTADLT_NUM.A,OBS_VALUE,Saudi Arabia,Number of automated teller machines (ATMs),"Per 100,000 adults",Annual,Units,67.02606374
IMF.STA:FAS(4.0.0),PAK.FA18N.PHTADLT_NUM.A,OBS_VALUE,Pakistan,Number of automated teller machines (ATMs),"Per 100,000 adults",Annual,Units,11.48540665
IMF.STA:FAS(4.0.0),SGP.FA26N.PHTADLT_NUM.A,OBS_VALUE,Singapore,Number of commercial bank branches,"Per 100,000 adults",Annual,Units,6.431087271
IMF.STA:FAS(4.0.0),VNM.FA26N.PHTADLT_NUM.A,OBS_VALUE,Vietnam,Number of commercial bank branches,"Per 100,000 adults",Annual,Units,3.026817684
IMF.STA:FAS(4.0.0),GTM.FA26N.PHTADLT_NUM.A,OBS_VALUE,Guatemala,Number of commercial bank branches,"Per 100,000 adults",Annual,Units,22.75770983
IMF.STA:FAS(4.0.0),PRY.FA26N.PHTADLT_NUM.A,OBS_VALUE,Paraguay,Number of commercial bank branches,"Per 100,000 adults",Annual,Units,9.906547541
IMF.STA:FAS(4.0.0),SAU.FA26N.PHTADLT_NUM.A,OBS_VALUE,Saudi Arabia,Number of commercial bank branches,"Per 100,000 adults",Annual,Units,8.059130426
IMF.STA:FAS(4.0.0),SGP.FA18N.PHTADLT_NUM.A,OBS_VALUE,Singapore,Number of automated teller machines (ATMs),"Per 100,000 adults",Annual,Units,51.0858155
IMF.STA:FAS(4.0.0),TLS.FA26N.PHTADLT_NUM.A,OBS_VALUE,"Timor-Leste, Democratic Republic of",Number of commercial bank branches,"Per 100,000 adults",Annual,Units,5.379296433
IMF.STA:FAS(4.0.0),PAK.FA26N.PHTADLT_NUM.A,OBS_VALUE,Pakistan,Number of commercial bank branches,"Per 100,000 adults",Annual,Units,10.54154409
IMF.STA:FAS(4.0.0),SLV.FA18N.PHTADLT_NUM.A,OBS_VALUE,El Salvador,Number of automated teller machines (ATMs),"Per 100,000 adults",Annual,Units,38.38179115
IMF.STA:FAS(4.0.0),DJI.FA18N.PHTADLT_NUM.A,OBS_VALUE,Djibouti,Number of automated teller machines (ATMs),"Per 100,000 adults",Annual,Units,15.20669798
IMF.STA:FAS(4.0.0),THA.FA18N.PHTADLT_NUM.A,OBS_VALUE,Thailand,Number of automated teller machines (ATMs),"Per 100,000 adults",Annual,Units,99.73388034
IMF.STA:FAS(4.0.0),IRQ.FA18N.PHTADLT_NUM.A,OBS_VALUE,Iraq,Number of automated teller machines (ATMs),"Per 100,000 adults",Annual,Units,8.081951791
IMF.STA:FAS(4.0.0),MYS.FA18N.PHTADLT_NUM.A,OBS_VALUE,Malaysia,Number of automated teller machines (ATMs),"Per 100,000 adults",Annual,Units,50.66626607
IMF.STA:FAS(4.0.0),PHL.FA26N.PHTADLT_NUM.A,OBS_VALUE,Philippines,Number of commercial bank branches,"Per 100,000 adults",Annual,Units,8.931248976
IMF.STA:FAS(4.0.0),PRY.FA18N.PHTADLT_NUM.A,OBS_VALUE,Paraguay,Number of automated teller machines (ATMs),"Per 100,000 adults",Annual,Units,28.36685777
IMF.STA:FAS(4.0.0),VNM.FA18N.PHTADLT_NUM.A,OBS_VALUE,Vietnam,Number of automated teller machines (ATMs),"Per 100,000 adults",Annual,Units,27.74648821
IMF.STA:FAS(4.0.0),IDN.FA18N.PHTADLT_NUM.A,OBS_VALUE,Indonesia,Number of automated teller machines (ATMs),"Per 100,000 adults",Annual,Units,47.31503438
IMF.STA:FAS(4.0.0),PHL.FA18N.PHTADLT_NUM.A,OBS_VALUE,Philippines,Number of automated teller machines (ATMs),"Per 100,000 adults",Annual,Units,29.08212339
IMF.STA:FAS(4.0.0),BHR.FA18N.PHTADLT_NUM.A,OBS_VALUE,"Bahrain, Kingdom of",Number of automated teller machines (ATMs),"Per 100,000 adults",Annual,Units,38.58009057
IMF.STA:FAS(4.0.0),BHR.FA26N.PHTADLT_NUM.A,OBS_VALUE,"Bahrain, Kingdom of",Number of commercial bank branches,"Per 100,000 adults",Annual,Units,14.42700866
IMF.STA:FAS(4.0.0),CYP.FA18N.PHTADLT_NUM.A,OBS_VALUE,Cyprus,Number of automated teller machines (ATMs),"Per 100,000 adults",Annual,Units,30.50340457
IMF.STA:FAS(4.0.0),POL.FA18N.PHTADLT_NUM.A,OBS_VALUE,"Poland, Republic of",Number of automated teller machines (ATMs),"Per 100,000 adults",Annual,Units,68.3466844
IMF.STA:FAS(4.0.0),GTM.FA18N.PHTADLT_NUM.A,OBS_VALUE,Guatemala,Number of automated teller machines (ATMs),"Per 100,000 adults",Annual,Units,35.66457051
IMF.STA:FAS(4.0.0),LBN.FA18N.PHTADLT_NUM.A,OBS_VALUE,Lebanon,Number of automated teller machines (ATMs),"Per 100,000 adults",Annual,Units,36.21951464
IMF.STA:FAS(4.0.0),KOR.FA26N.PHTADLT_NUM.A,OBS_VALUE,"Korea, Republic of",Number of commercial bank branches,"Per 100,000 adults",Annual,Units,12.89363377
