DATASET,SERIES_CODE,OBS_MEASURE,COUNTRY,INDICATOR,TYPE_OF_TRANSFORMATION,FREQUENCY,SCALE,2022
IMF.STA:FAS(4.0.0),MEX.OUTD_COMBANK.POGDP.A,OBS_VALUE,Mexico,"Outstanding deposits, Commercial banks",Percent of GDP,Annual,Units,25.80196871
IMF.STA:FAS(4.0.0),BOL.OUTD_COMBANK.POGDP.A,OBS_VALUE,Bolivia,"Outstanding deposits, Commercial banks",Percent of GDP,Annual,Units,56.57958272
IMF.STA:FAS(4.0.0),SLV.OUTD_COMBANK.POGDP.A,OBS_VALUE,El Salvador,"Outstanding deposits, Commercial banks",Percent of GDP,Annual,Units,50.45974321
IMF.STA:FAS(4.0.0),DNK.OUTD_COMBANK.POGDP.A,OBS_VALUE,Denmark,"Outstanding deposits, Commercial banks",Percent of GDP,Annual,Units,56.80428044
IMF.STA:FAS(4.0.0),MNG.OUTD_COMBANK.POGDP.A,OBS_VALUE,Mongolia,"Outstanding deposits, Commercial banks",Percent of GDP,Annual,Units,51.62009945
IMF.STA:FAS(4.0.0),LUX.OUTD_COMBANK.POGDP.A,OBS_VALUE,Luxembourg,"Outstanding deposits, Commercial banks",Percent of GDP,Annual,Units,89.03301521
IMF.STA:FAS(4.0.0),BLZ.OUTD_COMBANK.POGDP.A,OBS_VALUE,Belize,"Outstanding deposits, Commercial banks",Percent of GDP,Annual,Units,44.46848674
IMF.STA:FAS(4.0.0),ITA.OUTD_COMBANK.POGDP.A,OBS_VALUE,Italy,"Outstanding deposits, Commercial banks",Percent of GDP,Annual,Units,70.45581941
IMF.STA:FAS(4.0.0),ESP.OUTD_COMBANK.POGDP.A,OBS_VALUE,Spain,"Outstanding deposits, Commercial banks",Percent of GDP,Annual,Units,85.3565992
IMF.STA:FAS(4.0.0),LTU.OUTD_COMBANK.POGDP.A,OBS_VALUE,"Lithuania, Republic of","Outstanding deposits, Commercial banks",Percent of GDP,Annual,Units,46.8940425
IMF.STA:FAS(4.0.0),BHS.OUTD_COMBANK.POGDP.A,OBS_VALUE,"Bahamas, The","Outstanding deposits, Commercial banks",Percent of GDP,Annual,Units,62.18767787
IMF.STA:FAS(4.0.0),SGP.OUTD_COMBANK.POGDP.A,OBS_VALUE,Singapore,"Outstanding deposits, Commercial banks",Percent of GDP,Annual,Units,244.5847698
IMF.STA:FAS(4.0.0),RWA.OUTD_COMBANK.POGDP.A,OBS_VALUE,Rwanda,"Outstanding deposits, Commercial banks",Percent of GDP,Annual,Units,23.93715743
IMF.STA:FAS(4.0.0),NPL.OUTD_COMBANK.POGDP.A,OBS_VALUE,Nepal,"Outstanding deposits, Commercial banks",Percent of GDP,Annual,Units,91.33133901
IMF.STA:FAS(4.0.0),UKR.OUTD_COMBANK.POGDP.A,OBS_VALUE,Ukraine,"Outstanding deposits, Commercial banks",Percent of GDP,Annual,Units,33.3886485
IMF.STA:FAS(4.0.0),MAR.OUTD_COMBANK.POGDP.A,OBS_VALUE,Morocco,"Outstanding deposits, Commercial banks",Percent of GDP,Annual,Units,84.84312597
IMF.STA:FAS(4.0.0),URY.OUTD_COMBANK.POGDP.A,OBS_VALUE,Uruguay,"Outstanding deposits, Commercial banks",Percent of GDP,Annual,Units,55.55971491
IMF.STA:FAS(4.0.0),SRB.OUTD_COMBANK.POGDP.A,OBS_VALUE,"Serbia, Republic of","Outstanding deposits, Commercial banks",Percent of GDP,Annual,Units,47.94184407
IMF.STA:FAS(4.0.0),CHE.OUTD_COMBANK.POGDP.A,OBS_VALUE,Switzerland,"Outstanding deposits, Commercial banks",Percent of GDP,Annual,Units,171.2329175
IMF.STA:FAS(4.0.0),TUR.OUTD_COMBANK.POGDP.A,OBS_VALUE,"Türkiye, Republic of","Outstanding deposits, Commercial banks",Percent of GDP,Annual,Units,50.02561989
IMF.STA:FAS(4.0.0),POL.OUTD_COMBANK.POGDP.A,OBS_VALUE,"Poland, Republic of","Outstanding deposits, Commercial banks",Percent of GDP,Annual,Units,46.02937408
IMF.STA:FAS(4.0.0),SVK.OUTD_COMBANK.POGDP.A,OBS_VALUE,Slovak Republic,"Outstanding deposits, Commercial banks",Percent of GDP,Annual,Units,52.32085186
IMF.STA:FAS(4.0.0),SVN.OUTD_COMBANK.POGDP.A,OBS_VALUE,"Slovenia, Republic of","Outstanding deposits, Commercial banks",Percent of GDP,Annual,Units,60.15589856
IMF.STA:FAS(4.0.0),ROU.OUTD_COMBANK.POGDP.A,OBS_VALUE,Romania,"Outstanding deposits, Commercial banks",Percent of GDP,Annual,Units,34.53337652
IMF.STA:FAS(4.0.0),TTO.OUTD_COMBANK.POGDP.A,OBS_VALUE,Trinidad and Tobago,"Outstanding deposits, Commercial banks",Percent of GDP,Annual,Units,53.2575768
IMF.STA:FAS(4.0.0),THA.OUTD_COMBANK.POGDP.A,OBS_VALUE,Thailand,"Outstanding deposits, Commercial banks",Percent of GDP,Annual,Units,85.43177076
IMF.STA:FAS(4.0.0),PHL.OUTD_COMBANK.POGDP.A,OBS_VALUE,Philippines,"Outstanding deposits, Commercial banks",Percent of GDP,Annual,Units,57.45801535
IMF.STA:FAS(4.0.0),SUR.OUTD_COMBANK.POGDP.A,OBS_VALUE,Suriname,"Outstanding deposits, Commercial banks",Percent of GDP,Annual,Units,76.60435805
IMF.STA:FAS(4.0.0),PRY.OUTD_COMBANK.POGDP.A,OBS_VALUE,Paraguay,"Outstanding deposits, Commercial banks",Percent of GDP,Annual,Units,44.83039897
IMF.STA:FAS(4.0.0),NLD.OUTD_COMBANK.POGDP.A,OBS_VALUE,"Netherlands, The","Outstanding deposits, Commercial banks",Percent of GDP,Annual,Units,89.82944598
IMF.STA:FAS(4.0.0),PRT.OUTD_COMBANK.POGDP.A,OBS_VALUE,Portugal,"Outstanding deposits, Commercial banks",Percent of GDP,Annual,Units,93.87388192
IMF.STA:FAS(4.0.0),GRC.OUTD_COMBANK.POGDP.A,OBS_VALUE,Greece,"Outstanding deposits, Commercial banks",Percent of GDP,Annual,Units,89.9787885
IMF.STA:FAS(4.0.0),SWE.OUTD_COMBANK.POGDP.A,OBS_VALUE,Sweden,"Outstanding deposits, Commercial banks",Percent of GDP,Annual,Units,69.09843482
IMF.STA:FAS(4.0.0),KGZ.OUTD_COMBANK.POGDP.A,OBS_VALUE,Kyrgyz Republic,"Outstanding deposits, Commercial banks",Percent of GDP,Annual,Units,33.20690485
IMF.STA:FAS(4.0.0),TUN.OUTD_COMBANK.POGDP.A,OBS_VALUE,Tunisia,"Outstanding deposits, Commercial banks",Percent of GDP,Annual,Units,69.81419435
IMF.STA:FAS(4.0.0),FJI.OUTD_COMBANK.POGDP.A,OBS_VALUE,"Fiji, Republic of","Outstanding deposits, Commercial banks",Percent of GDP,Annual,Units,70.39156042
IMF.STA:FAS(4.0.0),EGY.FA26N.PHTADLT_NUM.A,OBS_VALUE,"Egypt, Arab Republic of",Number of commercial bank branches,"Per 100,000 adults",Annual,Units,6.649665446
IMF.STA:FAS(4.0.0),ISR.OUTD_COMBANK.POGDP.A,OBS_VALUE,Israel,"Outstanding deposits, Commercial banks",Percent of GDP,Annual,Units,110.8686067
IMF.STA:FAS(4.0.0),JOR.OUTD_COMBANK.POGDP.A,OBS_VALUE,Jordan,"Outstanding deposits, Commercial banks",Percent of GDP,Annual,Units,121.8932657
IMF.STA:FAS(4.0.0),KHM.OUTD_COMBANK.POGDP.A,OBS_VALUE,Cambodia,"Outstanding deposits, Commercial banks",Percent of GDP,Annual,Units,94.49551886
IMF.STA:FAS(4.0.0),EGY.FA18N.PHTADLT_NUM.A,OBS_VALUE,"Egypt, Arab Republic of",Number of automated teller machines (ATMs),"Per 100,000 adults",Annual,Units,31.31056314
IMF.STA:FAS(4.0.0),EGY.OUTD_COMBANK.POGDP.A,OBS_VALUE,"Egypt, Arab Republic of","Outstanding deposits, Commercial banks",Percent of GDP,Annual,Units,109.1834712
IMF.STA:FAS(4.0.0),ETH.OUTD_COMBANK.POGDP.A,OBS_VALUE,"Ethiopia, The Federal Democratic Republic of","Outstanding deposits, Commercial banks",Percent of GDP,Annual,Units,28.19558575
IMF.STA:FAS(4.0.0),VNM.OUTD_COMBANK.POGDP.A,OBS_VALUE,Vietnam,"Outstanding deposits, Commercial banks",Percent of GDP,Annual,Units,131.3749439
IMF.STA:FAS(4.0.0),IRQ.OUTD_COMBANK.POGDP.A,OBS_VALUE,Iraq,"Outstanding deposits, Commercial banks",Percent of GDP,Annual,Units,34.56685318
IMF.STA:FAS(4.0.0),CPV.OUTD_COMBANK.POGDP.A,OBS_VALUE,Cabo Verde,"Outstanding deposits, Commercial banks",Percent of GDP,Annual,Units,84.82121994
IMF.STA:FAS(4.0.0),MRT.OUTD_COMBANK.POGDP.A,OBS_VALUE,"Mauritania, Islamic Republic of","Outstanding deposits, Commercial banks",Percent of GDP,Annual,Units,279.3037857
IMF.STA:FAS(4.0.0),SYC.OUTD_COMBANK.POGDP.A,OBS_VALUE,Seychelles,"Outstanding deposits, Commercial banks",Percent of GDP,Annual,Units,25.76610602
IMF.STA:FAS(4.0.0),PAN.OUTD_COMBANK.POGDP.A,OBS_VALUE,Panama,"Outstanding deposits, Commercial banks",Percent of GDP,Annual,Units,112.7662204
IMF.STA:FAS(4.0.0),LBN.OUTD_COMBANK.POGDP.A,OBS_VALUE,Lebanon,"Outstanding deposits, Commercial banks",Percent of GDP,Annual,Units,22.83568921
IMF.STA:FAS(4.0.0),LSO.OUTD_COMBANK.POGDP.A,OBS_VALUE,"Lesotho, Kingdom of","Outstanding deposits, Commercial banks",Percent of GDP,Annual,Units,41.32772647
IMF.STA:FAS(4.0.0),MDG.OUTD_COMBANK.POGDP.A,OBS_VALUE,"Madagascar, Republic of","Outstanding deposits, Commercial banks",Percent of GDP,Annual,Units,21.70501245
IMF.STA:FAS(4.0.0),COM.OUTD_COMBANK.POGDP.A,OBS_VALUE,"Comoros, Union of the","Outstanding deposits, Commercial banks",Percent of GDP,Annual,Units,11.80674631
IMF.STA:FAS(4.0.0),BHR.OUTD_COMBANK.POGDP.A,OBS_VALUE,"Bahrain, Kingdom of","Outstanding deposits, Commercial banks",Percent of GDP,Annual,Units,86.57626274
IMF.STA:FAS(4.0.0),CHN.OUTD_COMBANK.POGDP.A,OBS_VALUE,"China, People's Republic of","Outstanding deposits, Commercial banks",Percent of GDP,Annual,Units,157.6690915
IMF.STA:FAS(4.0.0),IDN.OUTD_COMBANK.POGDP.A,OBS_VALUE,Indonesia,"Outstanding deposits, Commercial banks",Percent of GDP,Annual,Units,41.62445619
